,term,causal,coef,antonyms_opposite_coef,antonyms,antonym_source
602,curious,0,-0.229,{'sound': -0.266},"{'ordinary': 0.806, 'well': 0.646, 'usual': 0.292}",synonym_antonym
603,cast,0,0.356,{'push': -0.752},{'push': -0.752},antonym
604,spoiler,0,0.355,{},{'member': 0.0},oov_antonym
605,perry,0,0.354,{},{'nonalcoholic': 0.0},oov_antonym
606,total,0,-0.107,"{'female': -0.595, 'incomplete': -1.447}",{'gain': 0.108},antonym
607,king,0,0.934,{'unable': -0.573},{'unable': -0.809},antonym
608,spell,0,0.207,{},{'communicate': 0.0},oov_antonym
609,state,0,0.353,{'immature': -0.846},{'immature': -0.475},antonym
610,moves,0,-0.346,{'follow': -0.047},"{'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39}",antonym
611,setting,0,-0.342,{'strength': -0.538},"{'day': 0.464, 'raw': 0.097}",synonym_antonym
612,teens,0,0.011,{'immature': -0.846},{'immature': -0.475},antonym
613,contrived,1,-0.442,{},{'unplanned': 0.0},oov_antonym
614,longer,0,0.124,"{'adult': -0.236, 'female': -0.595, 'juvenile': -1.37}",{'male': -0.344},antonym
615,means,0,-0.272,"{'evil': -0.093, 'death': -0.359, 'appear': -0.028, 'useless': -0.99, 'activity': -0.375, 'wet': -0.239, 'worst': -2.535}",{'danger': 0.126},antonym
616,fate,0,0.345,{'beginning': -0.281},"{'ending': -0.219, 'beginning': -0.085}",synonym_antonym
617,from,0,0.17,{},{'indirect': 0.0},oov_antonym
618,magical,1,0.093,{'real': -0.155},"{'natural': -0.072, 'real': -0.211}",antonym
619,approach,0,0.36,"{'please': -0.285, 'leave': -0.173, 'appear': -0.028, 'free': -1.484, 'past': -0.031, 'future': -0.074}",{'go': -0.151},antonym
620,look,0,0.345,"{'back': -0.275, 'agree': -0.475, 'lack': -0.779}","{'respect': -0.598, 'lack': -0.328, 'avoid': -0.014}",synonym_antonym
621,throughout,0,0.617,{},{'crosswise': 0.0},oov_antonym
622,interesting,1,0.543,{'uninteresting': -0.461},{'uninteresting': -0.731},antonym
623,fashioned,0,0.34,{},{'undesigned': 0.0},oov_antonym
624,everyday,0,0.25,{'strange': -0.789},{'strange': -1.284},synonym_antonym
625,recall,0,0.338,{},{'forget': -1.009},antonym
626,across,0,1.256,{},{'lengthwise': 0.0},oov_antonym
627,gore,0,-0.251,{'move': -0.051},"{'close': 1.103, 'move': 0.143}",synonym_antonym
628,able,0,1.293,{'unable': -0.573},{'unable': -0.809},antonym
629,thorough,0,0.335,{},{'careless': 0.0},oov_antonym
630,desserts,0,0.333,"{'dry': -0.251, 'left': -0.899, 'goodness': -0.21, 'hate': -0.209, 'sell': -0.957, 'man': -0.292}","{'dry': -0.306, 'left': -0.593, 'goodness': -0.321, 'hate': -0.71, 'man': -0.3}",synonym_antonym
631,pulled,0,0.56,{'push': -0.752},{'push': -0.752},antonym
632,rhymes,0,-0.276,"{'type': -0.246, 'sit': -0.369}","{'start': 0.329, 'stay': 0.399}",antonym
633,universe,0,0.333,"{'finish': -1.526, 'juvenile': -1.37, 'female': -0.595}","{'finish': -0.786, 'woman': -0.213, 'juvenile': -1.104, 'female': -1.742}",synonym_antonym
634,partner,0,0.332,"{'wife': -0.462, 'waste': -2.916}",{'waste': -2.789},antonym
635,warm,0,-1.341,{'cold': -0.292},"{'cold': 0.097, 'cool': 1.151}",antonym
636,release,0,0.176,{'hold': -1.188},"{'engage': -0.058, 'hold': -0.39}",antonym
637,son,0,0.493,"{'girl': -1.146, 'female': -0.595}","{'girl': -0.192, 'female': -1.742}",antonym
638,fears,0,0.916,"{'let': -1.028, 'hate': -0.209}",{'afraid': -0.064},antonym
639,laughter,0,-0.027,{},"{'cry': 0.353, 'ordinary': 0.806, 'begin': 0.751}",synonym_antonym
640,lucky,1,-0.114,{},{'unfortunate': 0.0},oov_antonym
641,student,0,0.106,{'stupidity': -1.093},{'stupidity': -1.093},antonym
642,subject,0,-0.254,"{'finish': -1.526, 'female': -0.595}","{'truth': 1.129, 'answer': 0.183, 'secondary': 0.16}",synonym_antonym
643,provide,0,0.326,"{'better': -0.308, 'agree': -0.475, 'necessary': -0.329, 'back': -0.275, 'lack': -0.779, 'please': -0.285, 'human': -0.273, 'standard': -1.262, 'majority': -0.372, 'follow': -0.047, 'beginning': -0.281, 'free': -1.484, 'written': -0.483, 'wife': -0.462, 'waste': -2.916, 'low': -0.542, 'activity': -0.375, 'unable': -0.573, 'high': -0.232, 'focus': -0.292, 'wet': -0.239, 'sell': -0.957, 'particular': -0.564, 'give': -0.422, 'thin': -0.687}","{'stand': -0.849, 'better': -0.291, 'little': -0.175, 'necessary': -0.57, 'lack': -0.328, 'please': -0.431, 'standard': -0.799, 'majority': -0.372, 'beginning': -0.085, 'free': -1.085, 'pull': -0.049, 'waste': -2.789, 'low': -0.214, 'activity': -0.375, 'unable': -0.809, 'high': -0.298, 'focus': -0.292, 'wet': -0.239, 'fill': -0.485, 'give': -0.209, 'thin': -0.416}",synonym_antonym
644,alright,0,-0.436,{'rough': -0.822},{'front': 0.219},synonym_antonym
645,cant,0,-0.16,{'unhappy': -0.848},{'significance': 0.0},oov_antonym
646,absolutely,0,0.643,{'living': -0.493},"{'early': -0.104, 'middle': -0.304}",synonym_antonym
647,aliens,0,0.087,{},{'intrinsic': 0.0},oov_antonym
648,master,0,0.078,{},{'forget': -1.009},antonym
649,doing,0,-0.421,{},{'tightness': 0.0},oov_antonym
650,mad,0,0.011,"{'healthy': -0.103, 'fit': -0.095}",{'unangry': 0.0},oov_antonym
651,stick,0,-0.299,{'sell': -0.957},"{'lose': 0.122, 'sell': 0.128, 'end': 0.821, 'stay': 0.399}",antonym
652,popular,1,0.319,"{'cold': -0.292, 'bad': -0.129, 'friend': -0.397, 'push': -0.752}",{'far': -0.333},antonym
653,episode,0,0.724,"{'comedy': -0.034, 'dramatic': -0.335}",{'dramatic': -0.154},antonym
654,expecting,0,-0.255,"{'level': -0.413, 'activity': -0.375, 'pack': -0.013}","{'add': 0.412, 'stay': 0.399, 'lose': 0.122, 'answer': 0.183, 'enjoy': 0.391}",synonym_antonym
655,smart,1,0.537,"{'stupid': -2.148, 'pleasure': -0.09}","{'stupid': -2.048, 'pleasure': -0.35}",antonym
656,am,0,0.572,{'time': -0.183},{'time': -0.01},antonym
657,away,0,-0.138,{'on': -0.069},{'right': 0.219},antonym
658,gaps,0,0.314,{'give': -0.422},"{'simple': -0.104, 'give': -0.209}",antonym
659,live,0,0.759,"{'follow': -0.047, 'rush': -1.098}","{'juvenile': -1.104, 'admit': -0.364, 'let': -0.665, 'free': -1.085, 'break': -0.172, 'woman': -0.213, 'level': -0.225, 'poor': -1.049, 'dull': -1.066, 'charge': -0.497, 'stand': -0.849}",synonym_antonym
660,twilight,0,-0.24,{'dead': -0.189},{'day': 0.464},antonym
661,types,0,-0.066,"{'type': -0.246, 'straight': -0.328, 'thin': -0.687, 'focus': -0.292, 'wet': -0.239}","{'lose': 0.122, 'recall': 0.338}",synonym_antonym
662,eve,0,0.094,{'past': -0.031},{'day': 0.0},oov_antonym
663,meant,0,-0.098,{},{'unintended': 0.0},oov_antonym
664,between,0,0.47,{'beginning': -0.281},{'beginning': -0.085},antonym
665,covered,0,0.309,"{'tell': -0.057, 'dry': -0.251, 'black': -0.144, 'hard': -0.485}","{'tell': -0.091, 'colorful': -0.066, 'dry': -0.306, 'dark': -0.465, 'open': -0.062, 'hard': -0.618}",synonym_antonym
666,stuff,0,-0.545,"{'big': -0.463, 'worst': -2.535, 'worse': -0.926, 'dirty': -0.524, 'dry': -0.251, 'invest': -0.049, 'follow': -0.047, 'wet': -0.239, 'finish': -1.526, 'tense': -0.545}","{'large': 0.285, 'stay': 0.399, 'running': 0.527, 'cool': 1.151, 'lose': 0.122, 'smooth': 0.862, 'fall': 0.319, 'follow': 0.39}",synonym_antonym
667,boxed,0,-0.506,"{'kind': -0.584, 'dull': -0.796}",{'smooth': 0.862},synonym_antonym
668,homemade,0,0.307,"{'fine': -0.389, 'even': -0.606}","{'fine': -0.135, 'even': -0.472}",synonym_antonym
669,redemption,0,0.307,{'sell': -0.957},"{'waste': -2.789, 'war': -0.19, 'evil': -0.021, 'better': -0.291}",synonym_antonym
670,begin,0,0.751,"{'sell': -0.957, 'leave': -0.173}","{'leave': -0.562, 'avoid': -0.014, 'break': -0.172}",synonym_antonym
671,profanity,1,-0.855,{'female': -0.595},"{'nice': 1.156, 'ordinary': 0.806, 'cry': 0.353, 'clean': 0.426, 'keep': 0.39}",synonym_antonym
672,turn,0,0.613,"{'thin': -0.687, 'tense': -0.545, 'rough': -0.822, 'follow': -0.047, 'leave': -0.173, 'single': -0.054, 'incomplete': -1.447, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028, 'let': -1.028}","{'thin': -0.416, 'moral': -0.289, 'come': -0.091, 'tense': -0.848, 'engage': -0.058, 'die': -0.366, 'rough': -0.247, 'go': -0.151, 'leave': -0.562, 'single': -0.469, 'incomplete': -1.489, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028, 'let': -0.665}",synonym_antonym
673,basics,0,0.361,{'general': -0.592},{'general': -0.117},antonym
674,intrigue,1,0.489,{'fit': -0.095},{},empty
675,still,0,0.22,{'moving': -0.101},"{'heavy': -0.313, 'wild': -0.281}",antonym
676,western,0,0.916,{},{'eastern': 0.0},oov_antonym
677,defined,0,-0.209,{},{'undefined': 0.0},oov_antonym
678,happy,1,0.368,{'unhappy': -0.848},"{'depressing': -0.253, 'unhappy': -0.848, 'sad': -0.054}",antonym
679,want,0,0.362,"{'have': -0.045, 'short': -0.125, 'stupidity': -1.093, 'please': -0.285, 'better': -0.308, 'improvement': -0.478, 'make': -0.384}","{'have': -0.111, 'pull': -0.049, 'short': -0.226, 'plain': -0.167, 'forget': -1.009, 'stupidity': -1.093, 'please': -0.431, 'better': -0.291, 'improvement': -0.478, 'go': -0.151, 'make': -0.319}",synonym_antonym
680,familiar,0,-0.519,"{'future': -0.074, 'current': -0.631}",{'unknown': 0.464},antonym
681,emotional,0,-0.065,"{'cold': -0.292, 'thin': -0.687, 'hard': -0.485, 'tough': -0.252, 'healthy': -0.103, 'fit': -0.095, 'dry': -0.251, 'big': -0.463, 'pure': -0.124}",{'cool': 1.151},antonym
682,hoped,0,0.781,{},{'unexpected': 0.0},oov_antonym
683,earlier,0,0.292,{'back': -0.275},{'last': 0.0},oov_antonym
684,saving,0,0.363,{'evil': -0.093},{'evil': -0.021},synonym_antonym
685,implausible,1,-0.066,{'likely': -0.239},{'likely': 0.768},antonym
686,adults,0,-0.192,"{'female': -0.595, 'black': -0.144}",{'black': 0.023},antonym
687,dishes,0,0.286,{'common': -0.383},{'common': -0.212},antonym
688,provided,0,1.203,"{'better': -0.308, 'agree': -0.475, 'necessary': -0.329, 'back': -0.275, 'lack': -0.779, 'please': -0.285, 'human': -0.273, 'standard': -1.262, 'majority': -0.372, 'follow': -0.047, 'beginning': -0.281, 'free': -1.484, 'written': -0.483, 'wife': -0.462, 'waste': -2.916, 'low': -0.542, 'activity': -0.375, 'unable': -0.573, 'high': -0.232, 'focus': -0.292, 'wet': -0.239, 'sell': -0.957, 'particular': -0.564, 'give': -0.422, 'thin': -0.687}","{'stand': -0.849, 'better': -0.291, 'little': -0.175, 'necessary': -0.57, 'lack': -0.328, 'please': -0.431, 'standard': -0.799, 'majority': -0.372, 'beginning': -0.085, 'free': -1.085, 'pull': -0.049, 'waste': -2.789, 'low': -0.214, 'activity': -0.375, 'unable': -0.809, 'high': -0.298, 'focus': -0.292, 'wet': -0.239, 'fill': -0.485, 'give': -0.209, 'thin': -0.416}",synonym_antonym
689,species,0,0.285,{'type': -0.246},{'type': -0.391},antonym
690,keeping,0,0.329,{},{'noncompliance': 0.0},oov_antonym
691,genre,0,-0.42,"{'type': -0.246, 'straight': -0.328}",{'polyphony': 0.0},oov_antonym
692,club,0,-0.737,{},{'cool': 1.151},antonym
693,frustrating,1,-0.215,{},{'helpful': 0.801},synonym_antonym
694,reader,0,-0.017,"{'stupidity': -1.093, 'low': -0.542}",{'trade edition': 0.0},oov_antonym
695,system,0,0.279,"{'head': -0.022, 'someone': -0.858, 'follow': -0.047}",{'someone': -0.873},synonym_antonym
696,and,0,0.202,{'poor': -1.846},{'poor': -1.049},synonym_antonym
697,plausible,1,0.668,{'dull': -0.796},"{'implausible': -0.066, 'dull': -1.066}",antonym
698,happens,0,-0.095,{'appear': -0.028},"{'begin': 0.751, 'survive': 0.418, 'opening': 0.418, 'appreciate': 0.192, 'gain': 0.108, 'stop': 0.613, 'stay': 0.399, 'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'fast': 0.227, 'interesting': 0.543, 'smart': 0.537, 'quickly': 0.154, 'relax': 0.58, 'heat': 0.641, 'end': 0.821, 'death': 0.516, 'rush': 1.001}",synonym_antonym
699,morning,0,0.277,{'beginning': -0.281},{'beginning': -0.085},antonym
700,pretty,0,-0.14,"{'ugly': -1.081, 'man': -0.292}","{'good': 1.216, 'unusual': 0.606}",synonym_antonym
701,recipes,0,-0.219,{'resolution': -0.43},{'ready': 1.922},synonym_antonym
702,forgotten,0,0.276,{},{'noticed': 0.0},oov_antonym
703,need,0,0.669,"{'agree': -0.475, 'pack': -0.013}","{'broken': -0.032, 'pack': -0.013}",synonym_antonym
704,see,0,0.159,"{'rush': -1.098, 'juvenile': -1.37}","{'open': -0.062, 'juvenile': -1.104, 'respect': -0.598}",synonym_antonym
705,view,0,0.075,"{'dead': -0.189, 'back': -0.275, 'left': -0.899}","{'respect': -0.598, 'pull': -0.049, 'left': -0.593}",synonym_antonym
706,quickly,0,0.154,"{'slowly': -0.869, 'slow': -0.355}",{'slow': -1.023},antonym
707,he,0,0.3,{},{'software': 0.0},oov_antonym
708,is,0,-0.085,{'agree': -0.475},"{'change': 0.311, 'agree': 0.305}",antonym
709,sequel,0,0.625,{'middle': -0.406},{'middle': -0.304},antonym
710,somewhat,0,-0.082,{},{'unfairly': 0.0},oov_antonym
711,brother,0,0.371,{},{'sister': 0.0},oov_antonym
712,perspective,0,0.651,"{'dead': -0.189, 'back': -0.275, 'left': -0.899}","{'respect': -0.598, 'pull': -0.049, 'left': -0.593}",synonym_antonym
713,detective,0,-1.423,{'medical': -0.105},{'medical': 1.144},antonym
714,holy,1,0.305,"{'unhappy': -0.848, 'lost': -1.438}","{'unhappy': -0.848, 'lost': -0.782}",antonym
715,movie,0,-0.236,"{'specific': -0.712, 'dull': -0.796, 'comedy': -0.034, 'dramatic': -0.335, 'unrealistic': -1.217, 'positive': -1.332, 'ugly': -1.081, 'lack': -0.779, 'moving': -0.101, 'sound': -0.266}","{'dislike': 0.235, 'color': 0.013, 'recall': 0.338, 'day': 0.464, 'comedy': 0.182, 'stay': 0.399, 'loud': 0.815, 'fire': 0.042, 'inside': 0.245, 'moving': 0.39}",synonym_antonym
716,enjoying,1,0.585,{'sit': -0.369},{'stand': -0.849},synonym_antonym
717,first,0,0.212,"{'back': -0.275, 'middle': -0.406}",{'middle': -0.304},antonym
718,romantic,1,0.636,"{'adult': -0.236, 'female': -0.595, 'juvenile': -1.37}","{'adult': -0.674, 'female': -1.742, 'juvenile': -1.104}",synonym_antonym
719,held,0,0.739,{},{'unowned': 0.0},oov_antonym
720,sin,0,0.258,{},{'moral': -0.289},synonym_antonym
721,inside,0,0.245,{},{'outside': 0.0},oov_antonym
722,frequently,0,0.256,{'rarely': -0.599},{'rarely': -0.599},antonym
723,wondered,0,0.256,{},{'interesting': 0.0},oov_antonym
724,run,0,-0.04,{'hard': -0.485},"{'recall': 0.338, 'concise': 0.32}",antonym
725,times,0,0.71,{},{'regulation time': 0.0},oov_antonym
726,person,0,0.223,"{'adult': -0.236, 'female': -0.595, 'juvenile': -1.37}","{'male': -0.344, 'adult': -0.674, 'female': -1.742, 'juvenile': -1.104}",antonym
727,plots,0,0.102,{'fit': -0.095},{'truth': 0.0},oov_antonym
728,speaking,0,0.252,{'agree': -0.475},"{'open': -0.062, 'continue': -0.105}",synonym_antonym
729,lifestyle,0,-0.171,"{'type': -0.246, 'straight': -0.328}",{'terseness': 0.0},oov_antonym
730,creepy,0,-0.017,{},{'pleasant': 0.233},antonym
731,throw,0,0.25,"{'pack': -0.013, 'lack': -0.779, 'sell': -0.957, 'better': -0.308, 'push': -0.752, 'certain': -0.33, 'thin': -0.687, 'single': -0.054, 'short': -0.125, 'appear': -0.028}",{'open': -0.062},antonym
732,mention,0,0.505,"{'organized': -0.161, 'let': -1.028}",{'break': -0.172},antonym
733,figured,0,0.332,{'complain': -0.442},"{'plain': -0.167, 'complain': -0.66}",antonym
734,came,0,0.211,{'leave': -0.173},{'leave': -0.562},antonym
735,kindle,0,0.182,{'better': -0.308},{'better': -0.291},antonym
736,reference,0,0.505,{'juvenile': -1.37},{'juvenile': -1.104},antonym
737,mean,0,-0.373,"{'pack': -0.013, 'sell': -0.957, 'agree': -0.475, 'tense': -0.545, 'thin': -0.687}","{'lose': 0.122, 'sell': 0.128, 'relax': 0.58, 'change': 0.311, 'agree': 0.305, 'heat': 0.641, 'miss': 0.409, 'nice': 1.156}",synonym_antonym
738,hair,0,0.179,"{'beginning': -0.281, 'middle': -0.406, 'connect': -0.165}","{'beginning': -0.085, 'middle': -0.304, 'connect': -0.406}",antonym
739,john,0,0.64,{'female': -0.595},{'female': -1.742},synonym_antonym
740,once,0,0.782,{'future': -0.074},{'present': 0.0},oov_antonym
741,question,0,0.241,"{'say': -0.056, 'tell': -0.057}","{'say': -0.403, 'tell': -0.091}",synonym_antonym
742,ending,0,-0.219,"{'beginning': -0.281, 'middle': -0.406}","{'add': 0.412, 'begin': 0.751}",antonym
743,gets,0,0.103,{'sell': -0.957},"{'lack': -0.328, 'pack': -0.013, 'open': -0.062, 'connect': -0.406, 'go': -0.151, 'leave': -0.562, 'push': -0.752, 'charge': -0.497, 'bad': -0.784, 'give': -0.209, 'beginning': -0.085, 'continue': -0.105, 'better': -0.291}",synonym_antonym
744,reading,0,0.148,"{'past': -0.031, 'future': -0.074}",{},empty
745,continue,0,-0.105,"{'follow': -0.047, 'waste': -2.916, 'appear': -0.028}",{'change': 0.311},antonym
746,desire,0,-0.007,{'short': -0.125},{'dislike': 0.235},antonym
747,eden,0,0.237,"{'beginning': -0.281, 'middle': -0.406, 'connect': -0.165}","{'beginning': -0.085, 'middle': -0.304, 'connect': -0.406}",antonym
748,recommended,0,0.163,"{'adult': -0.236, 'female': -0.595, 'juvenile': -1.37, 'follow': -0.047}","{'adult': -0.674, 'female': -1.742, 'juvenile': -1.104}",synonym_antonym
749,tale,0,0.948,{'unhappy': -0.848},{'unhappy': -0.848},antonym
750,complex,0,0.208,"{'idiot': -0.031, 'soft': -0.189, 'straight': -0.328, 'rough': -0.822}",{'simple': -0.104},antonym
751,remains,0,0.234,"{'strength': -0.538, 'juvenile': -1.37}","{'work': -0.071, 'strength': -0.538, 'juvenile': -1.104}",synonym_antonym
752,mail,0,0.417,{'give': -0.422},{'give': -0.209},synonym_antonym
753,size,0,0.244,{'big': -0.463},"{'big': -0.25, 'little': -0.175, 'small': -0.721}",antonym
754,scary,0,0.306,{},{'unalarming': 0.0},oov_antonym
755,stand,0,-0.849,{'sit': -0.369},{'sit': 0.225},antonym
756,colors,0,0.22,{},{'increase': 0.0},oov_antonym
757,light,0,0.337,{'dead': -0.189},"{'fill': -0.485, 'charge': -0.497, 'dark': -0.465, 'dull': -1.066, 'bright': -0.017, 'stand': -0.849, 'stupidity': -1.093, 'wet': -0.239, 'heavy': -0.313, 'open': -0.062, 'serious': -0.024}",synonym_antonym
758,front,0,0.219,"{'back': -0.275, 'female': -0.595, 'follow': -0.047}","{'respect': -0.598, 'female': -1.742, 'die': -0.366}",synonym_antonym
759,sadness,1,0.219,"{'feeling': -0.029, 'liking': -0.611, 'pleasure': -0.09, 'high': -0.232, 'finish': -1.526}",{'joy': -0.307},antonym
760,takes,0,-0.202,{'follow': -0.047},{'recall': 0.338},antonym
761,hardly,1,0.351,{'standard': -1.262},{'standard': -0.799},synonym_antonym
762,protect,0,-0.187,{'let': -1.028},"{'child': 0.279, 'survive': 0.418, 'begin': 0.751, 'show': 0.286, 'clean': 0.426, 'close': 1.103, 'danger': 0.126}",synonym_antonym
763,trust,0,0.888,"{'ahead': -0.333, 'more': -0.291, 'short': -0.125, 'back': -0.275}","{'more': -0.033, 'short': -0.226}",synonym_antonym
764,sake,0,0.212,"{'back': -0.275, 'middle': -0.406, 'connect': -0.165, 'leave': -0.173}","{'middle': -0.304, 'connect': -0.406, 'leave': -0.562, 'go': -0.151}",synonym_antonym
765,touch,0,0.322,"{'lack': -0.779, 'sell': -0.957, 'connect': -0.165, 'man': -0.292, 'past': -0.031, 'future': -0.074, 'original': -0.231, 'activity': -0.375, 'rush': -1.098}","{'lack': -0.328, 'connect': -0.406, 'man': -0.3, 'original': -0.232, 'activity': -0.375}",synonym_antonym
766,party,0,0.207,{'show': -0.12},{},empty
767,sharing,0,0.304,{},{'selfish': -0.898},antonym
768,served,0,0.205,{},{'disarrange': 0.0},oov_antonym
769,pain,1,-0.458,"{'pleasure': -0.09, 'stupid': -2.148, 'kind': -0.584, 'dull': -0.796, 'cold': -0.292, 'please': -0.285, 'liking': -0.611}","{'hot': 1.636, 'cold': 0.097, 'happiness': 0.276, 'happy': 0.368, 'success': 0.008, 'experience': 0.017}",synonym_antonym
770,daughters,0,0.203,"{'man': -0.292, 'juvenile': -1.37}",{'male': -0.344},antonym
771,pull,0,-0.049,{'push': -0.752},"{'relax': 0.58, 'fire': 0.042, 'ride': 0.982, 'cool': 1.151, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'lose': 0.122, 'gain': 0.108}",synonym_antonym
772,thrilled,0,-0.356,{},{'quiet': 0.379},synonym_antonym
773,tie,0,0.426,"{'move': -0.051, 'stupidity': -1.093, 'moving': -0.101, 'dull': -0.796, 'soft': -0.189}","{'woman': -0.213, 'stupidity': -1.093, 'break': -0.172, 'dull': -1.066, 'soft': -0.189}",synonym_antonym
774,plan,0,0.074,"{'back': -0.275, 'left': -0.899, 'worst': -2.535}","{'left': -0.593, 'worst': -1.792}",synonym_antonym
775,apocalypse,0,0.201,{'comedy': -0.034},"{'dramatic': -0.154, 'strength': -0.538, 'beginning': -0.085}",synonym_antonym
776,bit,0,0.093,{'activity': -0.375},{'activity': -0.375},antonym
777,fair,0,-0.99,"{'just': -0.491, 'dirty': -0.524}",{'important': 1.461},synonym_antonym
778,reach,0,-0.917,"{'short': -0.125, 'follow': -0.047, 'man': -0.292, 'activity': -0.375, 'figure': -0.066}",{'stop': 0.613},antonym
779,sold,0,0.027,{},{'unsold': 0.0},oov_antonym
780,settings,0,0.2,{'strength': -0.538},{'strength': -0.538},antonym
781,boyfriend,0,-0.235,"{'female': -0.595, 'juvenile': -1.37}","{'boy': 0.369, 'son': 0.493}",synonym_antonym
782,members,0,1.035,{'adult': -0.236},{'adult': -0.674},antonym
783,matter,0,0.021,{},{'most': -0.465},synonym_antonym
784,leaving,0,-0.474,"{'buy': -0.421, 'sell': -0.957, 'pass': -0.311, 'better': -0.308, 'beginning': -0.281}",{'fall': 0.319},antonym
785,given,0,0.205,{},{'unacknowledged': 0.0},oov_antonym
786,compared,0,-0.103,{'worst': -2.535},{'side': 0.187},synonym_antonym
